,Tweets,polarity
80,"RT @iamdevloper: Twitter, I need your help:

https://t.co/X5nEkwWfGn

Get me a cameo.

@MikeJudge","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
81,@HBO That’s nice an all but what about Silicon Valley?,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.2263}"
82,Hbo's 'Silicon Valley' duels 'Game of Thrones' for geek love.,"{'neg': 0.129, 'neu': 0.571, 'pos': 0.3, 'compound': 0.5267}"
83,RT @THR: HBO's #SiliconValley to end with season 6 https://t.co/RmOQiyICE3 https://t.co/IWlZUNXrWN,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
84,"RT @iamdevloper: Twitter, I need your help:

https://t.co/X5nEkwWfGn

Get me a cameo.

@MikeJudge","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
85,"RT @iamdevloper: Twitter, I need your help:

https://t.co/X5nEkwWfGn

Get me a cameo.

@MikeJudge","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
86,"RT @iamdevloper: Twitter, I need your help:

https://t.co/X5nEkwWfGn

Get me a cameo.

@MikeJudge","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
87,RT @astuteape: That Silicon Valley show on HBO is pretty good.,"{'neg': 0.0, 'neu': 0.596, 'pos': 0.404, 'compound': 0.7269}"
88,Can’t believe there were five seasons. Can’t even tell was it season 2 or 3 that bored me enough to quit watching i… https://t.co/krV6RSqoWW,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.2732}"
89,"RT @iamdevloper: Twitter, I need your help:

https://t.co/X5nEkwWfGn

Get me a cameo.

@MikeJudge","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
90,That Silicon Valley show on HBO is pretty good.,"{'neg': 0.0, 'neu': 0.534, 'pos': 0.466, 'compound': 0.7269}"
91,"Season 6 of HBO's 'Silicon Valley' will consist of seven episodes and premiere later this year.
https://t.co/qVHtR2rbJF","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
92,"RT @iamdevloper: Twitter, I need your help:

https://t.co/X5nEkwWfGn

Get me a cameo.

@MikeJudge","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
93,"RT @iamdevloper: Twitter, I need your help:

https://t.co/X5nEkwWfGn

Get me a cameo.

@MikeJudge","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
94,"RT @iamdevloper: Twitter, I need your help:

https://t.co/X5nEkwWfGn

Get me a cameo.

@MikeJudge","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
95,"RT @iamdevloper: Twitter, I need your help:

https://t.co/X5nEkwWfGn

Get me a cameo.

@MikeJudge","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
96,@theblondeMD Oh oh and Silicon Valley on HBO. Oldie but goodie and straight up hilarious especially if you have a techie in your life.,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.7096}"
97,"RT @iamdevloper: Twitter, I need your help:

https://t.co/X5nEkwWfGn

Get me a cameo.

@MikeJudge","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
98,"RT @iamdevloper: Twitter, I need your help:

https://t.co/X5nEkwWfGn

Get me a cameo.

@MikeJudge","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
99,"RT @iamdevloper: Twitter, I need your help:

https://t.co/X5nEkwWfGn

Get me a cameo.

@MikeJudge","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
